year;month;decade;T_avg
2016;3;1;-12.56
2016;3;2;-8.94
2016;3;3;-3.35
2016;4;1;-1.79
2016;4;2;-4.5
2016;4;3;3.06
2016;5;1;7.27
2016;5;2;8.0
2016;5;3;12.93
2016;6;1;18.42
2016;6;2;16.33
2016;6;3;14.82
2016;7;1;18.5
2016;7;2;14.9
2016;7;3;16.77
2016;8;1;19.0
2016;8;2;16.16
2016;8;3;14.73
2016;9;1;16.0
2016;9;2;9.95
2016;9;3;5.4
2016;10;1;2.4
2016;10;2;1.4
2016;10;3;-2.73
2016;11;1;-11.8
2016;11;2;-15.15
2016;11;3;-15.5
2016;12;1;-11.15
2016;12;2;-15.6
2016;12;3;-20.45
2017;1;1;-24.15
2017;1;2;-20.16
2017;1;3;-27.18
2017;2;1;-10.89
2017;2;2;-15.4
2017;2;3;-14.75
2017;3;1;-2.15
2017;3;2;-3.0
2017;3;3;-1.23
2017;4;1;-4.0
2017;4;2;0.95
2017;4;3;6.9
2017;5;1;4.6
2017;5;2;7.5
2017;5;3;9.82
2017;6;1;12.0
2017;6;2;16.75
2017;6;3;17.05
2017;7;1;13.5
2017;7;2;19.03
2017;7;3;18.77
2017;8;1;22.5
2017;8;2;17.5
2017;8;3;17.23
2017;9;1;15.85
2017;9;2;10.7
2017;9;3;8.75
2017;10;1;1.6
2017;10;2;-3.4
2017;10;3;-3.05
2017;11;1;-10.0
2017;11;2;-10.32
2017;11;3;-20.0
2017;12;1;-19.95
2017;12;2;-20.0
2017;12;3;-23.09
2018;1;1;-25.95
2018;1;2;-28.3
2018;1;3;-10.32
2018;2;1;-10.95
2018;2;2;-14.47
2018;2;3;-13.25
2018;3;1;-13.18
2018;3;2;-15.7
2018;3;3;-8.36
2018;4;1;-0.95
2018;4;2;-2.25
2018;4;3;1.63
2018;5;1;6.05
2018;5;2;5.4
2018;5;3;8.86
2018;6;1;14.4
2018;6;2;10.4
2018;6;3;17.55
2018;7;1;20.8
2018;7;2;16.95
2018;7;3;20.35
2018;8;1;18.45
2018;8;2;19.9
2018;8;3;18.86
2018;9;1;15.11
2018;9;2;13.4
2018;9;3;12.8
2018;10;1;7.05
2018;10;2;4.45
2018;10;3;1.5
2018;11;1;-7.55
2018;11;2;-8.25
2018;11;3;-11.2
2018;12;1;-17.15
2018;12;2;-18.0
2018;12;3;-21.82
2019;1;1;-20.25
2019;1;2;-19.7
2019;1;3;-17.14
2019;2;1;-16.95
2019;2;2;-21.75
2019;2;3;-16.81
2019;3;1;-12.6
2019;3;2;-13.2
2019;3;3;-5.14
2019;4;1;4.25
2019;4;2;0.8
2019;4;3;6.05
2019;5;1;12.9
2019;5;2;14.5
2019;5;3;9.86
2019;6;1;12.05
2019;6;2;12.8
2019;6;3;14.35
2019;7;1;16.05
2019;7;2;19.55
2019;7;3;17.77
2019;8;1;15.1
2019;8;2;20.75
2019;8;3;16.38
2019;9;1;14.35
2019;9;2;12.2
2019;9;3;6.21
